M [M_sol],a_i [au],a_f [au],status
3.003489348850791e-06,1.4809999999999999,2.443905318063819,0.0
3.003489348850791e-06,1.482,2.4465206021636243,0.0
3.003489348850791e-06,1.483,2.4491324579407636,0.0
3.003489348850791e-06,1.484,2.451738819398105,0.0
3.003489348850791e-06,1.4849999999999999,2.4543380708152926,0.0
3.003489348850791e-06,1.486,2.456923928227785,0.0
3.003489348850791e-06,1.487,2.459520145135486,0.0
3.003489348850791e-06,1.488,2.462092344275356,0.0
3.003489348850791e-06,1.4889999999999999,2.4646698910196645,0.0
3.003489348850791e-06,1.49,2.467231173246088,0.0
3.003489348850791e-06,1.491,2.4697927473357018,0.0
3.003489348850791e-06,1.492,2.4699430475114927,0.0
3.003489348850791e-06,1.4929999999999999,2.4748908481342444,0.0
3.003489348850791e-06,1.494,2.477430381059514,0.0
3.003489348850791e-06,1.495,2.47995975993131,0.0
3.003489348850791e-06,1.496,2.482488086632072,0.0
3.003489348850791e-06,1.4969999999999999,2.4850142816760816,0.0
3.003489348850791e-06,1.498,2.4875216150176,0.0
3.003489348850791e-06,1.499,2.4900334276218548,0.0
3.003489348850791e-06,1.5,2.492536281095837,0.0
3.003489348850791e-06,1.501,2.495040599182059,0.0
3.003489348850791e-06,1.502,2.4975246436954315,0.0
3.003489348850791e-06,1.5030000000000001,2.500010505961319,0.0
3.003489348850791e-06,1.504,2.5024890575711995,0.0
3.003489348850791e-06,1.505,2.5049589145050324,0.0
3.003489348850791e-06,1.506,2.507432111992735,0.0
3.003489348850791e-06,1.5070000000000001,2.5098949245800353,0.0
3.003489348850791e-06,1.508,2.5123515688463276,0.0
3.003489348850791e-06,1.509,2.5148035475814314,0.0
3.003489348850791e-06,1.51,2.5172484857379525,0.0
3.964276745795425e-06,1.5110000000000001,2.4697663604116946,0.0
3.964276745795425e-06,1.512,2.472565379831741,0.0
3.964276745795425e-06,1.513,2.4753565790901675,0.0
3.964276745795425e-06,1.514,2.478140143563088,0.0
3.964276745795425e-06,1.5150000000000001,2.480918707967626,0.0
3.964276745795425e-06,1.516,2.4836810509552736,0.0
3.964276745795425e-06,1.517,2.4864286097568287,0.0
3.964276745795425e-06,1.518,2.4891830567952353,0.0
3.964276745795425e-06,1.5190000000000001,2.491920368866622,0.0
3.964276745795425e-06,1.52,2.494654064483163,0.0
3.964276745795425e-06,1.521,2.497376075428913,0.0
3.964276745795425e-06,1.522,2.500087100985367,0.0
3.964276745795425e-06,1.5230000000000001,2.502793690532745,0.0
3.964276745795425e-06,1.524,2.5054912017116577,0.0
3.964276745795425e-06,1.525,2.508192726581055,0.0
3.964276745795425e-06,1.526,2.5108658348749877,0.0
3.964276745795425e-06,1.5270000000000001,2.5135415720723913,0.0
3.964276745795425e-06,1.528,2.516201763410452,0.0
3.964276745795425e-06,1.529,2.5188669219302766,0.0
3.964276745795425e-06,1.53,2.5215178681352866,0.0
3.964276745795425e-06,1.5310000000000001,2.524159996977225,0.0
3.964276745795425e-06,1.532,2.526799830331938,0.0
3.964276745795425e-06,1.533,2.529429161478831,0.0
3.964276745795425e-06,1.534,2.5320526038573754,0.0
3.964276745795425e-06,1.5350000000000001,2.534667363715455,0.0
3.964276745795425e-06,1.536,2.537276329049688,0.0
3.964276745795425e-06,1.537,2.5398971169859923,0.0
3.964276745795425e-06,1.538,2.5424752166956277,0.0
3.964276745795425e-06,1.5390000000000001,2.5450722582517273,0.0
3.964276745795425e-06,1.54,2.5476462254590064,0.0
5.232410803543397e-06,1.541,2.488739313654138,0.0
5.232410803543397e-06,1.542,2.4917867751810907,0.0
5.232410803543397e-06,1.5430000000000001,2.494820246289425,0.0
5.232410803543397e-06,1.544,2.4978460329052457,0.0
5.232410803543397e-06,1.545,2.5008587436791716,0.0
5.232410803543397e-06,1.546,2.5038446724343872,0.0
5.232410803543397e-06,1.5470000000000002,2.506838429449496,0.0
5.232410803543397e-06,1.548,2.509817402338905,0.0
5.232410803543397e-06,1.549,2.51277666508732,0.0
5.232410803543397e-06,1.55,2.5157312794427256,0.0
5.232410803543397e-06,1.5510000000000002,2.5186738258966974,0.0
5.232410803543397e-06,1.552,2.5216301034710447,0.0
5.232410803543397e-06,1.553,2.5245226610983607,0.0
5.232410803543397e-06,1.554,2.52743172651416,0.0
5.232410803543397e-06,1.5550000000000002,2.5303312458684117,0.0
5.232410803543397e-06,1.556,2.5332212032791843,0.0
5.232410803543397e-06,1.557,2.5361032036333286,0.0
5.232410803543397e-06,1.558,2.5389667562531866,0.0
5.232410803543397e-06,1.5590000000000002,2.5418333577913166,0.0
5.232410803543397e-06,1.56,2.5446768529872066,0.0
5.232410803543397e-06,1.561,2.5475241242328406,0.0
5.232410803543397e-06,1.562,2.5503561587354446,0.0
5.232410803543397e-06,1.5630000000000002,2.553178682313874,0.0
5.232410803543397e-06,1.564,2.5561417764533307,0.0
5.232410803543397e-06,1.565,2.558796315069113,0.0
5.232410803543397e-06,1.566,2.5615971795518098,0.0
5.232410803543397e-06,1.5670000000000002,2.5643746995570313,0.0
5.232410803543397e-06,1.568,2.567158093412075,0.0
5.232410803543397e-06,1.569,2.5699262759900607,0.0
5.232410803543397e-06,1.57,2.5726873258436647,0.0
6.906208767103676e-06,1.5709999999999997,2.4981327769851203,0.0
