,logM,a,alpha
0,-2.50203532880117,0.15585368797171803,4.681048918021697e-07
1,-2.50203532880117,0.22459989838935962,6.745834025654115e-07
2,-2.50203532880117,0.2933461088070012,8.810619133286533e-07
3,-2.50203532880117,0.3620923192246428,1.087540424091895e-06
4,-2.50203532880117,0.4308385296422844,1.294018934855137e-06
5,-2.50203532880117,0.49958474005992604,1.5004974456183788e-06
6,-2.50203532880117,0.5683309504775675,1.7069759563816205e-06
7,-2.50203532880117,0.6370771608952092,1.913454467144862e-06
8,-2.50203532880117,0.7058233713128508,2.1199329779081043e-06
9,-2.50203532880117,0.7745695817304924,2.326411488671346e-06
10,-2.50203532880117,0.843315792148134,2.532889999434588e-06
11,-2.50203532880117,0.9120620025657755,2.7393685101978295e-06
12,-2.50203532880117,0.9808082129834171,2.9458470209610712e-06
13,-2.50203532880117,1.0495544234010588,3.1523255317243134e-06
14,-2.50203532880117,1.1183006338187003,3.3588040424875547e-06
15,-2.50203532880117,1.187046844236342,3.565282553250797e-06
16,-2.50203532880117,1.2557930546539835,3.7717610640140386e-06
17,-2.50203532880117,1.324539265071625,3.97823957477728e-06
18,-2.50203532880117,1.3932854754892667,4.1847180855405224e-06
19,-2.50203532880117,1.4620316859069082,4.391196596303764e-06
20,-2.50203532880117,1.53077789632455,4.597675107067006e-06
21,-2.50203532880117,1.5995241067421915,4.804153617830248e-06
22,-2.50203532880117,1.668270317159833,5.010632128593489e-06
23,-2.50203532880117,1.7370165275774747,5.217110639356731e-06
24,-2.50203532880117,1.8057627379951162,5.423589150119973e-06
25,-2.50203532880117,1.8745089484127577,5.6300676608832145e-06
26,-2.50203532880117,1.9432551588303995,5.836546171646456e-06
27,-2.50203532880117,2.0120013692480407,6.043024682409697e-06
28,-2.50203532880117,2.0807475796656822,6.249503193172939e-06
29,-2.50203532880117,2.149493790083324,6.455981703936182e-06
30,-2.50203532880117,2.2182400005009657,6.662460214699423e-06
31,-2.50203532880117,2.286986210918607,6.868938725462665e-06
32,-2.50203532880117,2.3557324213362487,7.0754172362259065e-06
33,-2.50203532880117,2.4244786317538902,7.281895746989148e-06
34,-2.50203532880117,2.4932248421715317,7.48837425775239e-06
35,-2.50203532880117,2.5619710525891737,7.694852768515633e-06
36,-2.50203532880117,2.630717263006815,7.901331279278873e-06
37,-2.50203532880117,2.6994634734244567,8.107809790042116e-06
38,-2.50203532880117,2.768209683842098,8.314288300805357e-06
39,-2.50203532880117,2.8369558942597397,8.5207668115686e-06
40,-2.50203532880117,2.9057021046773817,8.727245322331842e-06
41,-2.50203532880117,2.974448315095023,8.933723833095083e-06
42,-2.50203532880117,3.0431945255126647,9.140202343858324e-06
43,-2.50203532880117,3.111940735930306,9.346680854621566e-06
44,-2.50203532880117,3.1806869463479477,9.553159365384807e-06
45,-2.50203532880117,3.249433156765589,9.75963787614805e-06
46,-2.50203532880117,3.318179367183231,9.966116386911292e-06
47,-2.50203532880117,3.3869255776008726,1.0172594897674533e-05
48,-2.50203532880117,3.455671788018514,1.0379073408437776e-05
49,-2.50203532880117,3.5244179984361557,1.0585551919201017e-05
50,-2.50203532880117,3.593164208853797,1.0792030429964258e-05
